Date,Open,High,Low,Close,Adj Close,Volume
2019-08-01,12134.709961,12254.030273,12129.330078,12253.150391,12253.150391,87758900
2019-08-02,12033.679688,12034.910156,11836.750000,11872.440430,11872.440430,138678400
2019-08-05,11758.440430,11797.519531,11628.570313,11658.509766,11658.509766,113784300
2019-08-06,11690.269531,11748.830078,11567.959961,11567.959961,11567.959961,86220300
2019-08-07,11636.339844,11747.740234,11559.759766,11650.150391,11650.150391,108829300
2019-08-08,11752.959961,11845.410156,11683.990234,11845.410156,11845.410156,101153300
2019-08-09,11806.820313,11865.629883,11674.110352,11693.799805,11693.799805,107173100
2019-08-12,11801.059570,11836.969727,11647.009766,11679.679688,11679.679688,76120900
2019-08-13,11632.849609,11835.879883,11539.629883,11750.129883,11750.129883,116609400
2019-08-14,11758.750000,11759.570313,11459.370117,11492.660156,11492.660156,106028900
2019-08-15,11522.459961,11530.009766,11266.480469,11412.669922,11412.669922,116680900
2019-08-16,11460.650391,11578.839844,11447.339844,11562.740234,11562.740234,114055600
2019-08-19,11679.719727,11759.000000,11625.669922,11715.370117,11715.370117,78455800
2019-08-20,11711.780273,11764.929688,11618.929688,11651.179688,11651.179688,68833300
2019-08-21,11673.660156,11824.660156,11673.370117,11802.849609,11802.849609,62803500
2019-08-22,11756.209961,11853.139648,11715.259766,11747.040039,11747.040039,74446100
2019-08-23,11805.480469,11823.120117,11611.509766,11611.509766,11611.509766,90301100
2019-08-26,11619.660156,11696.780273,11551.990234,11658.040039,11658.040039,54752500
2019-08-27,11638.509766,11778.620117,11616.089844,11730.019531,11730.019531,82363700
2019-08-28,11704.669922,11717.790039,11573.639648,11701.019531,11701.019531,59962600
2019-08-29,11686.839844,11853.910156,11661.730469,11838.879883,11838.879883,72992700
