Date,Open,High,Low,Close
2018-12-31,23153.939453,23333.179688,23118.300781,23327.460938
2019-01-02,23058.609375,23413.470703,22928.589844,23346.240234
2019-01-03,23176.390625,23176.390625,22638.410156,22686.220703
2019-01-04,22894.919922,23518.640625,22894.919922,23433.160156
2019-01-07,23474.259766,23687.740234,23301.589844,23531.349609
2019-01-08,23680.320313,23864.650391,23581.449219,23787.449219
2019-01-09,23844.269531,23985.449219,23776.560547,23879.119141
2019-01-10,23811.109375,24014.779297,23703.25,24001.919922
2019-01-11,23940.009766,23996.320313,23798.160156,23995.949219
2019-01-14,23880.529297,23964.900391,23765.240234,23909.839844
2019-01-15,23914.109375,24099.140625,23887.929688,24065.589844
2019-01-16,24139.910156,24288.609375,24119.720703,24207.160156
2019-01-17,24147.089844,24474.460938,24088.900391,24370.099609
2019-01-18,24534.189453,24750.220703,24459.029297,24706.349609
2019-01-22,24607.759766,24607.759766,24244.310547,24404.480469
2019-01-23,24577.25,24700.980469,24307.169922,24575.619141
2019-01-24,24579.960938,24626.300781,24422.730469,24553.240234
2019-01-25,24687.210938,24860.150391,24676.75,24737.199219
2019-01-28,24596.980469,24596.980469,24323.939453,24528.220703
2019-01-29,24519.619141,24674.869141,24504.039063,24579.960938
2019-01-30,24826.519531,25109.619141,24790.900391,25014.859375
2019-01-31,24954.480469,25049.619141,24842.089844,24999.669922
2019-02-01,25025.310547,25193.150391,24982.490234,25063.890625
2019-02-04,25062.119141,25239.910156,24977.669922,25239.369141
2019-02-05,25287.929688,25427.320313,25287.650391,25411.519531
2019-02-06,25371.570313,25439.039063,25312.060547,25390.300781
2019-02-07,25265.810547,25314.259766,25000.519531,25169.529297
2019-02-08,25042.359375,25106.390625,24883.039063,25106.330078
2019-02-11,25142.810547,25196.75,25009.099609,25053.109375
2019-02-12,25152.029297,25458.980469,25152.029297,25425.759766
2019-02-13,25480.859375,25625.949219,25480.859375,25543.269531
2019-02-14,25460.650391,25558.900391,25308.089844,25439.390625
2019-02-15,25564.630859,25883.720703,25564.630859,25883.25
2019-02-19,25849.849609,25961.439453,25820.009766,25891.320313
2019-02-20,25872.259766,25986.199219,25846.480469,25954.439453
2019-02-21,25922.410156,25938.880859,25762.210938,25850.630859
2019-02-22,25906.269531,26052.900391,25906.269531,26031.810547
2019-02-25,26126.150391,26241.419922,26080.660156,26091.949219
2019-02-26,26051.609375,26155.289063,25966.009766,26057.980469
2019-02-27,25995.599609,26039.679688,25877.240234,25985.160156
2019-02-28,25984.279297,26029.210938,25896.560547,25916.0
2019-03-01,26019.669922,26143.919922,25914.369141,26026.320313
2019-03-04,26122.189453,26155.980469,25611.550781,25819.650391
2019-03-05,25829.070313,25877.150391,25725.630859,25806.630859
2019-03-06,25818.759766,25837.609375,25633.710938,25673.460938
2019-03-07,25645.449219,25645.449219,25352.550781,25473.230469
2019-03-08,25347.380859,25466.140625,25252.460938,25450.240234
2019-03-11,25208.0,25661.630859,25208.0,25650.880859
2019-03-12,25600.300781,25675.439453,25522.169922,25554.660156
2019-03-13,25637.230469,25776.490234,25571.310547,25702.890625
2019-03-14,25692.310547,25752.839844,25621.310547,25709.939453
2019-03-15,25720.960938,25927.910156,25649.699219,25848.869141
2019-03-18,25801.880859,25924.769531,25785.660156,25914.099609
2019-03-19,25987.869141,26109.679688,25814.919922,25887.380859
2019-03-20,25867.789063,25929.519531,25670.630859,25745.669922
2019-03-21,25688.439453,26009.900391,25657.779297,25962.509766
2019-03-22,25844.650391,25877.009766,25501.449219,25502.320313
2019-03-25,25490.720703,25603.269531,25372.259766,25516.830078
2019-03-26,25649.560547,25796.289063,25544.779297,25657.730469
2019-03-27,25676.339844,25758.169922,25425.269531,25625.589844
2019-03-28,25693.320313,25743.410156,25576.689453,25717.460938
2019-03-29,25827.310547,25949.320313,25771.669922,25928.679688
2019-04-01,26075.099609,26280.900391,26071.689453,26258.419922
2019-04-02,26213.550781,26221.240234,26122.310547,26179.130859
2019-04-03,26238.029297,26282.169922,26138.470703,26218.130859
2019-04-04,26213.419922,26398.900391,26212.779297,26384.630859
2019-04-05,26427.560547,26487.570313,26370.820313,26424.990234
2019-04-08,26312.669922,26344.650391,26246.029297,26341.019531
2019-04-09,26243.539063,26246.339844,26103.140625,26150.580078
2019-04-10,26173.710938,26209.490234,26101.240234,26157.160156
2019-04-11,26188.210938,26229.880859,26062.589844,26143.050781
2019-04-12,26357.789063,26436.679688,26309.720703,26412.300781
2019-04-15,26407.759766,26424.849609,26316.419922,26384.769531
2019-04-16,26482.189453,26530.710938,26397.189453,26452.660156
2019-04-17,26468.529297,26501.019531,26391.859375,26449.539063
2019-04-18,26463.369141,26602.419922,26444.529297,26559.539063
2019-04-22,26510.769531,26553.050781,26458.609375,26511.050781
2019-04-23,26513.830078,26695.960938,26503.560547,26656.390625
2019-04-24,26652.560547,26680.580078,26582.859375,26597.050781
2019-04-25,26426.369141,26536.480469,26310.279297,26462.080078
2019-04-26,26454.619141,26543.560547,26392.550781,26543.330078
