Date,Open,High,Low,Close
2015-01-02,9869.129883,9879.530273,9687.259766,9764.730469
2015-01-05,9735.650391,9790.269531,9468.580078,9473.160156
2015-01-06,9484.25,9624.650391,9382.820313,9469.660156
2015-01-07,9510.339844,9592.370117,9459.179688,9518.179688
2015-01-08,9643.769531,9855.429688,9607.900391,9837.610352
2015-01-09,9813.990234,9860.179688,9601.75,9648.5
2015-01-12,9697.459961,9815.959961,9622.320313,9781.900391
2015-01-13,9759.570313,9978.94043,9755.019531,9941.0
2015-01-14,9810.700195,9962.980469,9768.099609,9817.080078
2015-01-15,9933.450195,10063.179688,9637.330078,10032.610352
2015-01-16,9985.509766,10207.969727,9940.639648,10167.769531
2015-01-19,10231.580078,10293.040039,10191.980469,10242.349609
2015-01-20,10278.549805,10298.419922,10211.389648,10257.129883
2015-01-21,10270.330078,10311.900391,10149.769531,10299.230469
2015-01-22,10300.259766,10454.049805,10228.530273,10435.620117
2015-01-23,10503.330078,10704.320313,10502.849609,10649.580078
2015-01-26,10592.969727,10807.570313,10589.070313,10798.330078
2015-01-27,10785.900391,10810.570313,10592.459961,10628.580078
2015-01-28,10719.400391,10728.830078,10552.759766,10710.969727
2015-01-29,10666.429688,10743.570313,10607.719727,10737.870117
2015-01-30,10801.379883,10804.040039,10642.589844,10694.320313
2015-02-02,10719.179688,10828.009766,10677.389648,10828.009766
2015-02-03,10867.610352,10984.69043,10860.030273,10890.950195
2015-02-04,10892.5,10912.240234,10803.099609,10911.320313
2015-02-05,10840.790039,10926.730469,10822.75,10905.410156
2015-02-06,10866.200195,10877.669922,10802.889648,10846.389648
2015-02-09,10765.209961,10767.219727,10614.120117,10663.509766
2015-02-10,10675.589844,10797.459961,10594.320313,10753.830078
2015-02-11,10765.0,10791.589844,10696.780273,10752.110352
2015-02-12,10746.910156,10955.450195,10746.910156,10919.650391
2015-02-13,10952.389648,11013.849609,10948.490234,10963.400391
2015-02-16,10946.879883,10963.490234,10909.490234,10923.230469
2015-02-17,10847.730469,10921.259766,10765.019531,10895.620117
2015-02-18,10931.719727,10980.980469,10909.599609,10961.0
2015-02-19,10932.490234,11022.259766,10874.969727,11001.94043
2015-02-20,10976.769531,11081.80957,10946.900391,11050.639648
2015-02-23,11150.469727,11158.549805,11069.769531,11130.919922
2015-02-24,11128.169922,11228.370117,11090.730469,11205.740234
2015-02-25,11208.269531,11225.599609,11174.780273,11210.269531
2015-02-26,11206.660156,11330.629883,11187.0,11327.19043
2015-02-27,11337.110352,11401.660156,11301.339844,11401.660156
2015-03-02,11408.280273,11455.080078,11362.879883,11410.360352
2015-03-03,11424.669922,11465.230469,11280.360352,11280.360352
2015-03-04,11317.240234,11390.379883,11193.299805,11390.379883
2015-03-05,11427.639648,11532.820313,11409.049805,11504.009766
2015-03-06,11513.889648,11600.370117,11495.200195,11550.969727
2015-03-09,11510.349609,11586.94043,11461.860352,11582.110352
2015-03-10,11555.969727,11577.75,11402.669922,11500.379883
2015-03-11,11531.549805,11822.530273,11531.549805,11805.990234
2015-03-12,11795.910156,11830.139648,11754.900391,11799.389648
2015-03-13,11845.900391,11903.330078,11744.929688,11901.610352
2015-03-16,11955.820313,12219.049805,11955.330078,12167.719727
2015-03-17,12163.080078,12195.580078,11930.540039,11980.849609
2015-03-18,12002.240234,12017.910156,11814.480469,11922.769531
2015-03-19,11897.480469,12001.129883,11787.299805,11899.400391
2015-03-20,11942.160156,12087.610352,11926.860352,12039.370117
2015-03-23,11984.790039,11985.110352,11858.099609,11895.839844
2015-03-24,11821.209961,12030.589844,11797.669922,12005.69043
2015-03-25,11995.089844,12022.839844,11858.230469,11865.320313
2015-03-26,11736.339844,11849.389648,11619.719727,11843.679688
2015-03-27,11920.219727,11954.089844,11799.030273,11868.330078
2015-03-30,11927.139648,12090.139648,11922.709961,12086.009766
2015-03-31,12054.200195,12119.709961,11943.120117,11966.169922
2015-04-01,11902.919922,12112.980469,11880.19043,12001.379883
2015-04-02,11991.620117,12020.110352,11948.830078,11967.389648
2015-04-07,12057.339844,12149.30957,12035.700195,12123.519531
2015-04-08,12109.849609,12122.320313,12017.799805,12035.860352
2015-04-09,12099.429688,12166.44043,12047.910156,12166.44043
2015-04-10,12226.980469,12390.75,12214.509766,12374.730469
2015-04-13,12357.269531,12388.129883,12326.709961,12338.730469
2015-04-14,12306.360352,12339.80957,12181.200195,12227.599609
2015-04-15,12220.099609,12326.139648,12214.80957,12231.339844
2015-04-16,12224.759766,12227.589844,11997.75,11998.860352
2015-04-17,11942.360352,12019.75,11674.589844,11688.700195
2015-04-20,11736.400391,11903.700195,11727.019531,11891.910156
2015-04-21,11994.820313,12079.030273,11913.360352,11939.580078
2015-04-22,11984.389648,12041.379883,11787.219727,11867.370117
2015-04-23,11887.139648,11940.209961,11675.580078,11723.580078
2015-04-24,11783.55957,11881.049805,11711.099609,11810.849609
