Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,11617.179688,11706.639648,11612.700195,11681.990234,11681.990234,96979200
2019-04-02,11703.240234,11777.650391,11659.150391,11754.790039,11754.790039,77384300
2019-04-03,11855.400391,11961.360352,11854.209961,11954.400391,11954.400391,93396300
2019-04-04,11924.610352,12029.259766,11916.570313,11988.009766,11988.009766,77816900
2019-04-05,11993.219727,12024.230469,11967.700195,12009.750000,12009.750000,72712300
2019-04-08,11979.730469,11989.589844,11948.259766,11963.400391,11963.400391,63676500
2019-04-09,11927.009766,11988.530273,11850.570313,11850.570313,11850.570313,65890100
2019-04-10,11864.459961,11937.110352,11863.799805,11905.910156,11905.910156,66565400
2019-04-11,11914.509766,11963.429688,11846.599609,11935.200195,11935.200195,76193900
2019-04-12,11912.580078,12031.150391,11889.990234,11999.929688,11999.929688,90100600
2019-04-15,12011.110352,12029.980469,11983.330078,12020.280273,12020.280273,63168000
2019-04-16,12026.740234,12116.250000,12025.660156,12101.320313,12101.320313,80876600
2019-04-17,12100.440430,12195.000000,12086.889648,12153.070313,12153.070313,99213800
2019-04-18,12138.139648,12243.629883,12100.000000,12222.389648,12222.389648,105586700
2019-04-23,12224.320313,12251.809570,12182.980469,12235.509766,12235.509766,75030200
2019-04-24,12232.990234,12349.830078,12223.980469,12313.160156,12313.160156,103247100
2019-04-25,12304.530273,12321.790039,12236.139648,12282.599609,12282.599609,93386700
2019-04-26,12284.459961,12323.639648,12259.759766,12315.179688,12315.179688,87343400
2019-04-29,12308.980469,12376.059570,12266.339844,12328.019531,12328.019531,68558100
2019-04-30,12313.969727,12345.309570,12281.719727,12344.080078,12344.080078,79970400
2019-05-02,12349.099609,12402.870117,12303.959961,12345.419922,12345.419922,93465200
2019-05-03,12345.320313,12435.669922,12344.230469,12412.750000,12412.750000,76747600
2019-05-06,12171.900391,12298.660156,12135.419922,12286.879883,12286.879883,85773700
2019-05-07,12298.709961,12319.049805,12056.799805,12092.740234,12092.740234,106514900
2019-05-08,12110.870117,12208.480469,12063.740234,12179.929688,12179.929688,98005900
2019-05-09,12098.019531,12125.959961,11957.309570,11973.919922,11973.919922,106142600
2019-05-10,12105.280273,12140.610352,12009.750000,12059.830078,12059.830078,137835700
2019-05-13,12044.099609,12052.929688,11844.469727,11876.650391,11876.650391,107254900
2019-05-14,11908.769531,11991.830078,11897.929688,11991.620117,11991.620117,103014000
2019-05-15,12018.450195,12099.570313,11862.209961,12099.570313,12099.570313,122060600
2019-05-16,12077.360352,12310.370117,12030.299805,12310.370117,12310.370117,105731200
2019-05-17,12252.679688,12270.889648,12150.330078,12238.940430,12238.940430,101339900
2019-05-20,12226.849609,12246.500000,11993.910156,12041.290039,12041.290039,102250300
2019-05-21,12111.799805,12178.250000,12066.900391,12143.469727,12143.469727,88105000
2019-05-22,12141.459961,12211.030273,12055.500000,12168.740234,12168.740234,84501900
2019-05-23,12064.290039,12082.750000,11926.339844,11952.410156,11952.410156,114561400
2019-05-24,12027.309570,12082.049805,11990.790039,12011.040039,12011.040039,79888800
2019-05-27,12077.879883,12124.549805,12050.490234,12071.179688,12071.179688,42454900
2019-05-28,12100.389648,12113.309570,11992.410156,12027.049805,12027.049805,117658500
2019-05-29,11906.019531,11927.639648,11828.750000,11837.809570,11837.809570,88123100
2019-05-30,11885.070313,11924.660156,11858.290039,11902.080078,11902.080078,46452800
2019-05-31,11742.209961,11755.120117,11662.070313,11726.839844,11726.839844,95536100
2019-06-03,11661.120117,11793.629883,11620.639648,11792.809570,11792.809570,101223100
2019-06-04,11716.549805,11987.889648,11713.870117,11971.169922,11971.169922,104436100
2019-06-05,11981.179688,12057.730469,11928.870117,11980.809570,11980.809570,0
